 MySQL  localhost:3306 ssl  boats  SQL > select s.* from sailors s
                                      -> where s.rating > 9;
+------+---------+-----+--------+
| sid  | name    | age | rating |
|  429 | Bob429  |  57 |     12 |
|  430 | Bob430  |  66 |     13 |
|  432 | Bob432  |  47 |     12 |
|  434 | Bob434  |  23 |     10 |
|  438 | Bob438  |  51 |     12 |
|  440 | Bob440  |  44 |     10 |
|  442 | Bob442  |  94 |     13 |
|  443 | Bob443  |  83 |     11 |
|  446 | Bob446  |  97 |     14 |
|  447 | Bob447  |  69 |     10 |
|  448 | Bob448  |  40 |     12 |
|  449 | Bob449  |  94 |     12 |
|  451 | Bob451  |  74 |     10 |
|  457 | Bob457  |  25 |     11 |
|  459 | Bob459  |  79 |     12 |
|  462 | Bob462  |  87 |     13 |
|  463 | Bob463  |  20 |     11 |
|  464 | Bob464  |  34 |     10 |
|  470 | Bob470  |  56 |     11 |
|  471 | Bob471  |  36 |     10 |
|  472 | Bob472  |  87 |     13 |
|  476 | Bob476  |  78 |     11 |
|  481 | Bob481  |  86 |     10 |
|  484 | Bob484  |  94 |     14 |
|  487 | Bob487  |  46 |     10 |
|  490 | Bob490  |  79 |     13 |
|  491 | Bob491  |  90 |     10 |
|  494 | Bob494  |  73 |     11 |
|  501 | Bob501  |  79 |     10 |
|  502 | Bob502  |  34 |     10 |
|  503 | Bob503  |  68 |     11 |
|  504 | Bob504  |  89 |     14 |
|  510 | Bob510  |  92 |     13 |
|  514 | Bob514  |  71 |     10 |
|  516 | Bob516  |  46 |     12 |
|  517 | Bob517  |  65 |     13 |
|  518 | Bob518  |  92 |     11 |
|  520 | Bob520  |  44 |     10 |
|  531 | Bob531  |  66 |     13 |
|  534 | Bob534  |  64 |     10 |
|  542 | Bob542  |  60 |     12 |
|  543 | Bob543  |  45 |     12 |
|  545 | Bob545  |  87 |     13 |
|  547 | Bob547  |  44 |     11 |
|  548 | Bob548  |  96 |     12 |
|  551 | Bob551  |  40 |     10 |
|  552 | Bob552  |  42 |     10 |
|  553 | Bob553  |  86 |     13 |
|  557 | Bob557  |  64 |     13 |
|  566 | Bob566  |  34 |     10 |
|  567 | Bob567  |  87 |     14 |
|  568 | Bob568  |  94 |     14 |
|  572 | Bob572  |  26 |     11 |
|  573 | Bob573  |  43 |     11 |
|  576 | Bob576  |  53 |     10 |
|  583 | Bob583  |  87 |     14 |
|  585 | Bob585  |  91 |     10 |
|  587 | Bob587  |  93 |     13 |
|  591 | Bob591  |  94 |     14 |
|  593 | Bob593  |  33 |     11 |
|  598 | Bob598  |  88 |     10 |
|  607 | Bob607  |  85 |     11 |
|  608 | Bob608  |  67 |     10 |
|  612 | Bob612  |  59 |     11 |
|  616 | Bob616  |  90 |     13 |
|  618 | Bob618  |  66 |     13 |
|  620 | Bob620  |  42 |     11 |
|  622 | Bob622  |  89 |     12 |
|  625 | Bob625  |  95 |     13 |
|  631 | Bob631  |  31 |     10 |
|  634 | Bob634  |  82 |     12 |
|  636 | Bob636  |  89 |     14 |
|  639 | Bob639  |  39 |     11 |
|  645 | Bob645  |  43 |     10 |
|  648 | Bob648  |  91 |     14 |
|  649 | Bob649  |  46 |     10 |
|  655 | Bob655  |  90 |     11 |
|  656 | Bob656  |  91 |     12 |
|  657 | Bob657  |  72 |     12 |
|  658 | Bob658  |  96 |     14 |
|  664 | Bob664  |  44 |     10 |
|  665 | Bob665  |  67 |     10 |
|  666 | Bob666  |  31 |     11 |
|  675 | Bob675  |  87 |     12 |
|  680 | Bob680  |  83 |     11 |
|  685 | Bob685  |  42 |     11 |
|  687 | Bob687  |  21 |     11 |
|  690 | Bob690  |  37 |     10 |
|  701 | Bob701  |  83 |     13 |
|  702 | Bob702  |  97 |     14 |
|  705 | Bob705  |  69 |     13 |
|  712 | Bob712  |  80 |     13 |
|  713 | Bob713  |  30 |     10 |
|  714 | Bob714  |  65 |     13 |
|  717 | Bob717  |  90 |     13 |
|  720 | Bob720  |  85 |     11 |
|  721 | Bob721  |  44 |     12 |
|  723 | Bob723  |  89 |     14 |
|  724 | Bob724  |  28 |     11 |
|  725 | Bob725  |  90 |     11 |
|  731 | Bob731  |  67 |     12 |
|  732 | Bob732  |  77 |     12 |
|  733 | Bob733  |  35 |     11 |
|  737 | Bob737  |  86 |     13 |
|  739 | Bob739  |  51 |     11 |
|  743 | Bob743  |  34 |     11 |
|  744 | Bob744  |  51 |     11 |
|  746 | Bob746  |  87 |     12 |
|  751 | Bob751  |  72 |     10 |
|  753 | Bob753  |  86 |     10 |
|  762 | Bob762  |  55 |     11 |
|  764 | Bob764  |  35 |     11 |
|  766 | Bob766  |  95 |     12 |
|  768 | Bob768  |  95 |     13 |
|  776 | Bob776  |  61 |     12 |
|  779 | Bob779  |  76 |     10 |
|  780 | Bob780  |  29 |     11 |
|  782 | Bob782  |  41 |     12 |
|  783 | Bob783  |  31 |     11 |
|  786 | Bob786  |  18 |     10 |
|  791 | Bob791  |  55 |     10 |
|  795 | Bob795  |  79 |     13 |
|  796 | Bob796  |  82 |     12 |
|  805 | Bob805  |  40 |     12 |
|  807 | Bob807  |  31 |     11 |
|  809 | Bob809  |  69 |     11 |
|  811 | Bob811  |  91 |     14 |
|  818 | Bob818  |  86 |     14 |
|  819 | Bob819  |  78 |     10 |
|  824 | Bob824  |  73 |     12 |
|  832 | Bob832  |  36 |     10 |
|  838 | Bob838  |  45 |     10 |
|  848 | Bob848  |  50 |     12 |
|  851 | Bob851  |  37 |     10 |
|  856 | Bob856  |  94 |     11 |
|  858 | Bob858  |  88 |     13 |
|  860 | Bob860  |  96 |     11 |
|  861 | Bob861  |  57 |     10 |
|  867 | Bob867  |  73 |     12 |
|  869 | Bob869  |  86 |     11 |
|  872 | Bob872  |  94 |     13 |
|  877 | Bob877  |  70 |     11 |
|  881 | Bob881  |  79 |     11 |
|  882 | Bob882  |  96 |     10 |
|  883 | Bob883  |  57 |     11 |
|  884 | Bob884  |  45 |     12 |
|  885 | Bob885  |  72 |     11 |
|  886 | Bob886  |  56 |     10 |
|  890 | Bob890  |  62 |     10 |
|  892 | Bob892  |  46 |     12 |
|  893 | Bob893  |  76 |     11 |
|  895 | Bob895  |  63 |     10 |
|  900 | Bob900  |  68 |     10 |
|  906 | Bob906  |  28 |     10 |
|  908 | Bob908  |  93 |     13 |
|  914 | Bob914  |  85 |     14 |
|  915 | Bob915  |  89 |     11 |
|  917 | Bob917  |  65 |     12 |
|  918 | Bob918  |  39 |     10 |
|  923 | Bob923  |  53 |     12 |
|  925 | Bob925  |  87 |     13 |
|  928 | Bob928  |  92 |     12 |
|  934 | Bob934  |  65 |     11 |
|  935 | Bob935  |  37 |     11 |
|  938 | Bob938  |  50 |     10 |
|  946 | Bob946  |  26 |     11 |
|  951 | Bob951  |  91 |     14 |
|  953 | Bob953  |  47 |     10 |
|  954 | Bob954  |  66 |     13 |
|  955 | Bob955  |  79 |     10 |
|  956 | Bob956  |  56 |     12 |
|  959 | Bob959  |  64 |     12 |
|  964 | Bob964  |  78 |     13 |
|  965 | Bob965  |  62 |     12 |
|  967 | Bob967  |  97 |     13 |
|  969 | Bob969  |  43 |     11 |
|  971 | Bob971  |  68 |     12 |
|  972 | Bob972  |  73 |     10 |
|  975 | Bob975  |  88 |     11 |
|  981 | Bob981  |  18 |     10 |
|  982 | Bob982  |  82 |     13 |
|  984 | Bob984  |  78 |     13 |
|  985 | Bob985  |  39 |     11 |
|  986 | Bob986  |  96 |     12 |
|  990 | Bob990  |  51 |     12 |
|  992 | Bob992  |  78 |     13 |
|  996 | Bob996  |  30 |     11 |
|  997 | Bob997  |  90 |     14 |
| 1000 | Bob1000 |  75 |     12 |
| 1003 | Bob1003 |  66 |     13 |
| 1009 | Bob1009 |  74 |     12 |
| 1013 | Bob1013 |  89 |     10 |
| 1015 | Bob1015 |  78 |     13 |
| 1016 | Bob1016 |  82 |     13 |
| 1024 | Bob1024 |  84 |     13 |
| 1035 | Bob1035 |  85 |     11 |
| 1039 | Bob1039 |  62 |     12 |
| 1043 | Bob1043 |  96 |     10 |
| 1045 | Bob1045 |  95 |     14 |
| 1047 | Bob1047 |  33 |     11 |
| 1048 | Bob1048 |  91 |     11 |
| 1055 | Bob1055 |  30 |     11 |
| 1072 | Bob1072 |  51 |     12 |
| 1073 | Bob1073 |  50 |     12 |
| 1079 | Bob1079 |  69 |     13 |
| 1081 | Bob1081 |  66 |     10 |
| 1084 | Bob1084 |  87 |     11 |
| 1087 | Bob1087 |  95 |     13 |
| 1088 | Bob1088 |  58 |     11 |
| 1090 | Bob1090 |  83 |     12 |
| 1091 | Bob1091 |  32 |     10 |
| 1103 | Bob1103 |  90 |     10 |
| 1105 | Bob1105 |  39 |     10 |
| 1107 | Bob1107 |  50 |     10 |
| 1109 | Bob1109 |  89 |     12 |
| 1111 | Bob1111 |  59 |     10 |
| 1112 | Bob1112 |  65 |     12 |
| 1114 | Bob1114 |  75 |     12 |
| 1116 | Bob1116 |  44 |     12 |
| 1118 | Bob1118 |  67 |     10 |
| 1123 | Bob1123 |  91 |     11 |
| 1126 | Bob1126 |  71 |     10 |
| 1128 | Bob1128 |  58 |     11 |
| 1129 | Bob1129 |  78 |     12 |
| 1131 | Bob1131 |  29 |     10 |
| 1135 | Bob1135 |  21 |     11 |
| 1141 | Bob1141 |  93 |     10 |
| 1148 | Bob1148 |  91 |     14 |
| 1149 | Bob1149 |  40 |     12 |
| 1151 | Bob1151 |  94 |     13 |
| 1154 | Bob1154 |  87 |     10 |
| 1156 | Bob1156 |  93 |     10 |
| 1157 | Bob1157 |  86 |     11 |
| 1159 | Bob1159 |  83 |     14 |
| 1160 | Bob1160 |  61 |     13 |
| 1163 | Bob1163 |  52 |     10 |
| 1169 | Bob1169 |  82 |     12 |
| 1170 | Bob1170 |  82 |     13 |
| 1172 | Bob1172 |  69 |     11 |
| 1173 | Bob1173 |  79 |     13 |
| 1175 | Bob1175 |  89 |     12 |
| 1178 | Bob1178 |  97 |     13 |
| 1183 | Bob1183 |  91 |     13 |
| 1186 | Bob1186 |  33 |     11 |
| 1189 | Bob1189 |  76 |     13 |
| 1197 | Bob1197 |  84 |     13 |
| 1202 | Bob1202 |  88 |     10 |
| 1203 | Bob1203 |  31 |     10 |
| 1205 | Bob1205 |  97 |     10 |
| 1211 | Bob1211 |  57 |     12 |
| 1212 | Bob1212 |  55 |     10 |
| 1213 | Bob1213 |  86 |     10 |
| 1214 | Bob1214 |  58 |     12 |
| 1220 | Bob1220 |  25 |     10 |
| 1221 | Bob1221 |  66 |     11 |
| 1227 | Bob1227 |  51 |     12 |
| 1228 | Bob1228 |  49 |     10 |
| 1232 | Bob1232 |  67 |     12 |
| 1236 | Bob1236 |  59 |     10 |
| 1238 | Bob1238 |  51 |     11 |
| 1242 | Bob1242 |  87 |     12 |
| 1244 | Bob1244 |  69 |     12 |
| 1246 | Bob1246 |  68 |     12 |
| 1250 | Bob1250 |  86 |     10 |
| 1251 | Bob1251 |  86 |     11 |
| 1252 | Bob1252 |  90 |     11 |
| 1253 | Bob1253 |  70 |     11 |
| 1255 | Bob1255 |  19 |     10 |
| 1256 | Bob1256 |  27 |     10 |
| 1257 | Bob1257 |  86 |     11 |
| 1259 | Bob1259 |  90 |     11 |
| 1260 | Bob1260 |  87 |     14 |
| 1264 | Bob1264 |  87 |     13 |
| 1266 | Bob1266 |  69 |     12 |
| 1270 | Bob1270 |  48 |     12 |
| 1271 | Bob1271 |  55 |     11 |
| 1272 | Bob1272 |  90 |     13 |
| 1273 | Bob1273 |  93 |     12 |
| 1274 | Bob1274 |  95 |     13 |
| 1276 | Bob1276 |  76 |     13 |
| 1283 | Bob1283 |  66 |     10 |
| 1284 | Bob1284 |  45 |     10 |
| 1286 | Bob1286 |  76 |     13 |
| 1287 | Bob1287 |  91 |     13 |
| 1289 | Bob1289 |  96 |     14 |
| 1293 | Bob1293 |  95 |     13 |
| 1295 | Bob1295 |  22 |     11 |
| 1297 | Bob1297 |  30 |     10 |
| 1298 | Bob1298 |  91 |     13 |
| 1299 | Bob1299 |  83 |     14 |
| 1300 | Bob1300 |  57 |     10 |
| 1301 | Bob1301 |  65 |     12 |
| 1302 | Bob1302 |  65 |     10 |
| 1303 | Bob1303 |  67 |     13 |
| 1304 | Bob1304 |  37 |     10 |
| 1306 | Bob1306 |  46 |     11 |
| 1307 | Bob1307 |  66 |     12 |
| 1310 | Bob1310 |  94 |     11 |
| 1316 | Bob1316 |  82 |     11 |
| 1322 | Bob1322 |  37 |     10 |
| 1323 | Bob1323 |  39 |     11 |
| 1332 | Bob1332 |  59 |     11 |
| 1334 | Bob1334 |  70 |     13 |
| 1338 | Bob1338 |  38 |     10 |
| 1343 | Bob1343 |  85 |     13 |
| 1344 | Bob1344 |  41 |     12 |
| 1345 | Bob1345 |  72 |     10 |
| 1350 | Bob1350 |  62 |     12 |
| 1351 | Bob1351 |  62 |     11 |
| 1355 | Bob1355 |  93 |     14 |
| 1358 | Bob1358 |  93 |     13 |
| 1359 | Bob1359 |  84 |     14 |
| 1360 | Bob1360 |  56 |     12 |
| 1361 | Bob1361 |  62 |     10 |
| 1362 | Bob1362 |  41 |     10 |
| 1366 | Bob1366 |  31 |     11 |
| 1369 | Bob1369 |  92 |     11 |
| 1374 | Bob1374 |  88 |     10 |
| 1380 | Bob1380 |  51 |     10 |
| 1382 | Bob1382 |  93 |     14 |
| 1383 | Bob1383 |  73 |     13 |
| 1384 | Bob1384 |  94 |     11 |
| 1386 | Bob1386 |  93 |     11 |
| 1388 | Bob1388 |  86 |     11 |
| 1390 | Bob1390 |  18 |     10 |
| 1391 | Bob1391 |  72 |     11 |
| 1393 | Bob1393 |  55 |     10 |
| 1394 | Bob1394 |  96 |     14 |
| 1395 | Bob1395 |  93 |     12 |
| 1397 | Bob1397 |  42 |     10 |
| 1398 | Bob1398 |  60 |     13 |
| 1403 | Bob1403 |  88 |     11 |
| 1405 | Bob1405 |  43 |     11 |
| 1407 | Bob1407 |  37 |     10 |
| 1410 | Bob1410 |  75 |     13 |
| 1414 | Bob1414 |  80 |     10 |
| 1417 | Bob1417 |  86 |     10 |
| 1418 | Bob1418 |  61 |     12 |
| 1420 | Bob1420 |  63 |     13 |
| 1421 | Bob1421 |  40 |     11 |
| 1422 | Bob1422 |  35 |     11 |
| 1427 | Bob1427 |  79 |     11 |
| 1429 | Bob1429 |  85 |     12 |
| 1431 | Bob1431 |  47 |     12 |
| 1432 | Bob1432 |  93 |     10 |
| 1440 | Bob1440 |  88 |     11 |
| 1443 | Bob1443 |  82 |     12 |
| 1444 | Bob1444 |  60 |     10 |
| 1448 | Bob1448 |  93 |     12 |
| 1449 | Bob1449 |  64 |     13 |
| 1450 | Bob1450 |  37 |     11 |
| 1454 | Bob1454 |  97 |     13 |
| 1455 | Bob1455 |  92 |     10 |
| 1458 | Bob1458 |  62 |     10 |
| 1461 | Bob1461 |  96 |     12 |
| 1463 | Bob1463 |  33 |     11 |
| 1464 | Bob1464 |  86 |     12 |
| 1467 | Bob1467 |  44 |     12 |
| 1471 | Bob1471 |  91 |     12 |
| 1475 | Bob1475 |  60 |     10 |
| 1476 | Bob1476 |  76 |     13 |
| 1477 | Bob1477 |  93 |     14 |
| 1478 | Bob1478 |  83 |     11 |
| 1480 | Bob1480 |  93 |     10 |
| 1481 | Bob1481 |  44 |     11 |
| 1484 | Bob1484 |  80 |     10 |
| 1489 | Bob1489 |  69 |     11 |
| 1492 | Bob1492 |  22 |     11 |
| 1503 | Bob1503 |  51 |     10 |
| 1504 | Bob1504 |  45 |     11 |
| 1512 | Bob1512 |  67 |     12 |
| 1513 | Bob1513 |  60 |     13 |
| 1516 | Bob1516 |  39 |     11 |
| 1518 | Bob1518 |  64 |     10 |
| 1519 | Bob1519 |  52 |     10 |
| 1525 | Bob1525 |  67 |     13 |
| 1534 | Bob1534 |  37 |     11 |
| 1535 | Bob1535 |  52 |     11 |
| 1536 | Bob1536 |  53 |     12 |
| 1537 | Bob1537 |  59 |     11 |
| 1539 | Bob1539 |  41 |     12 |
| 1544 | Bob1544 |  32 |     10 |
| 1545 | Bob1545 |  47 |     11 |
| 1556 | Bob1556 |  87 |     10 |
| 1564 | Bob1564 |  87 |     13 |
| 1565 | Bob1565 |  81 |     11 |
| 1567 | Bob1567 |  31 |     10 |
| 1568 | Bob1568 |  60 |     11 |
| 1572 | Bob1572 |  72 |     10 |
| 1573 | Bob1573 |  67 |     11 |
| 1575 | Bob1575 |  66 |     11 |
| 1579 | Bob1579 |  57 |     11 |
| 1583 | Bob1583 |  97 |     12 |
| 1584 | Bob1584 |  40 |     12 |
| 1585 | Bob1585 |  54 |     12 |
| 1594 | Bob1594 |  40 |     10 |
| 1599 | Bob1599 |  50 |     11 |
| 1600 | Bob1600 |  96 |     12 |
| 1602 | Bob1602 |  96 |     10 |
| 1603 | Bob1603 |  57 |     11 |
| 1605 | Bob1605 |  46 |     11 |
| 1607 | Bob1607 |  37 |     11 |
| 1608 | Bob1608 |  59 |     11 |
| 1609 | Bob1609 |  77 |     12 |
| 1610 | Bob1610 |  88 |     13 |
| 1615 | Bob1615 |  85 |     13 |
| 1616 | Bob1616 |  87 |     12 |
| 1618 | Bob1618 |  84 |     14 |
| 1619 | Bob1619 |  84 |     11 |
| 1621 | Bob1621 |  41 |     12 |
| 1624 | Bob1624 |  96 |     13 |
| 1629 | Bob1629 |  88 |     10 |
| 1632 | Bob1632 |  66 |     10 |
| 1634 | Bob1634 |  28 |     10 |
| 1640 | Bob1640 |  26 |     10 |
| 1643 | Bob1643 |  44 |     11 |
| 1658 | Bob1658 |  82 |     13 |
| 1659 | Bob1659 |  97 |     11 |
| 1660 | Bob1660 |  92 |     10 |
| 1661 | Bob1661 |  38 |     10 |
| 1662 | Bob1662 |  93 |     12 |
| 1663 | Bob1663 |  85 |     13 |
| 1667 | Bob1667 |  79 |     11 |
| 1669 | Bob1669 |  81 |     13 |
| 1672 | Bob1672 |  63 |     11 |
| 1673 | Bob1673 |  89 |     10 |
| 1674 | Bob1674 |  81 |     12 |
| 1677 | Bob1677 |  80 |     13 |
| 1680 | Bob1680 |  96 |     14 |
| 1686 | Bob1686 |  92 |     11 |
| 1691 | Bob1691 |  65 |     11 |
| 1692 | Bob1692 |  71 |     10 |
| 1694 | Bob1694 |  82 |     13 |
| 1704 | Bob1704 |  91 |     12 |
| 1705 | Bob1705 |  43 |     12 |
| 1706 | Bob1706 |  75 |     10 |
| 1709 | Bob1709 |  29 |     10 |
| 1710 | Bob1710 |  96 |     13 |
| 1712 | Bob1712 |  58 |     11 |
| 1716 | Bob1716 |  44 |     11 |
| 1719 | Bob1719 |  72 |     12 |
| 1720 | Bob1720 |  45 |     12 |
| 1722 | Bob1722 |  44 |     12 |
| 1723 | Bob1723 |  86 |     14 |
| 1724 | Bob1724 |  92 |     12 |
| 1729 | Bob1729 |  46 |     12 |
| 1730 | Bob1730 |  32 |     11 |
| 1733 | Bob1733 |  65 |     12 |
| 1737 | Bob1737 |  97 |     13 |
| 1738 | Bob1738 |  76 |     12 |
| 1741 | Bob1741 |  49 |     11 |
| 1744 | Bob1744 |  82 |     11 |
| 1745 | Bob1745 |  55 |     12 |
| 1746 | Bob1746 |  84 |     11 |
| 1754 | Bob1754 |  78 |     12 |
| 1755 | Bob1755 |  64 |     13 |
| 1760 | Bob1760 |  57 |     10 |
| 1769 | Bob1769 |  73 |     13 |
| 1774 | Bob1774 |  34 |     10 |
| 1775 | Bob1775 |  67 |     13 |
| 1776 | Bob1776 |  72 |     12 |
| 1778 | Bob1778 |  93 |     14 |
| 1779 | Bob1779 |  49 |     12 |
| 1780 | Bob1780 |  90 |     13 |
| 1781 | Bob1781 |  44 |     10 |
| 1782 | Bob1782 |  60 |     11 |
| 1784 | Bob1784 |  83 |     10 |
| 1785 | Bob1785 |  41 |     12 |
| 1786 | Bob1786 |  71 |     13 |
| 1795 | Bob1795 |  87 |     13 |
| 1800 | Bob1800 |  33 |     11 |
| 1801 | Bob1801 |  85 |     14 |
| 1805 | Bob1805 |  79 |     12 |
| 1807 | Bob1807 |  94 |     10 |
| 1808 | Bob1808 |  76 |     11 |
| 1811 | Bob1811 |  81 |     11 |
| 1814 | Bob1814 |  95 |     11 |
| 1815 | Bob1815 |  96 |     10 |
| 1816 | Bob1816 |  48 |     11 |
| 1819 | Bob1819 |  84 |     12 |
| 1826 | Bob1826 |  53 |     12 |
| 1829 | Bob1829 |  34 |     10 |
| 1830 | Bob1830 |  50 |     10 |
| 1831 | Bob1831 |  73 |     12 |
| 1847 | Bob1847 |  95 |     14 |
| 1854 | Bob1854 |  61 |     12 |
| 1859 | Bob1859 |  90 |     13 |
| 1862 | Bob1862 |  95 |     12 |
| 1864 | Bob1864 |  78 |     13 |
| 1868 | Bob1868 |  85 |     13 |
| 1869 | Bob1869 |  89 |     10 |
| 1870 | Bob1870 |  30 |     10 |
| 1872 | Bob1872 |  79 |     13 |
| 1873 | Bob1873 |  20 |     10 |
| 1874 | Bob1874 |  87 |     14 |
| 1875 | Bob1875 |  89 |     10 |
| 1878 | Bob1878 |  65 |     13 |
| 1881 | Bob1881 |  62 |     10 |
| 1882 | Bob1882 |  36 |     11 |
| 1884 | Bob1884 |  79 |     12 |
| 1885 | Bob1885 |  18 |     10 |
| 1886 | Bob1886 |  90 |     11 |
| 1887 | Bob1887 |  61 |     12 |
| 1888 | Bob1888 |  34 |     11 |
| 1892 | Bob1892 |  91 |     14 |
| 1893 | Bob1893 |  57 |     10 |
| 1895 | Bob1895 |  50 |     11 |
| 1898 | Bob1898 |  76 |     10 |
| 1899 | Bob1899 |  72 |     11 |
| 1901 | Bob1901 |  49 |     12 |
| 1902 | Bob1902 |  37 |     10 |
| 1903 | Bob1903 |  86 |     11 |
| 1904 | Bob1904 |  77 |     12 |
| 1906 | Bob1906 |  80 |     13 |
| 1907 | Bob1907 |  65 |     12 |
| 1910 | Bob1910 |  32 |     11 |
| 1915 | Bob1915 |  65 |     10 |
| 1917 | Bob1917 |  42 |     12 |
| 1918 | Bob1918 |  68 |     13 |
| 1926 | Bob1926 |  85 |     11 |
| 1928 | Bob1928 |  84 |     10 |
| 1929 | Bob1929 |  84 |     11 |
